code,code_name,ipoDate,outDate,type,status
sz.000001,平安银行,1991-04-03,,1,1
sz.000002,万科A,1991-01-29,,1,1
sz.000003,PT金田A,1991-07-03,2002-06-14,1,0
sz.000004,ST国华,1991-01-14,,1,1
sz.000005,ST星源,1990-12-10,,1,1
sz.000006,深振业A,1992-04-27,,1,1
sz.000007,全新好,1992-04-13,,1,1
sz.000008,神州高铁,1992-05-07,,1,1
sz.000009,中国宝安,1991-06-25,,1,1
sz.000010,美丽生态,1995-10-27,,1,1
sz.000011,深物业A,1992-03-30,,1,1
sz.000012,南玻A,1992-02-28,,1,1
sz.000013,*ST石化A,1992-05-06,2004-09-20,1,0
sz.000014,沙河股份,1992-06-02,,1,1
sz.000015,PT中浩A,1992-06-25,2001-10-22,1,0
sz.000016,深康佳A,1992-03-27,,1,1
sz.000017,深中华A,1992-03-31,,1,1
sz.000018,神城A退,1992-06-16,2020-01-07,1,0
sz.000019,深粮控股,1992-10-12,,1,1
sz.000020,深华发A,1992-04-28,,1,1
sz.000021,深科技,1994-02-02,,1,1
sz.000022,深赤湾A,1993-05-05,2018-12-26,1,0
sz.000023,深天地A,1993-04-29,,1,1
sz.000024,招商地产,1993-06-07,2015-12-30,1,0
sz.000025,特力A,1993-06-21,,1,1
sz.000026,飞亚达,1993-06-03,,1,1
sz.000027,深圳能源,1993-09-03,,1,1
sz.000028,国药一致,1993-08-09,,1,1
sz.000029,深深房A,1993-09-15,,1,1
sz.000030,富奥股份,1993-09-29,,1,1
sz.000031,大悦城,1993-10-08,,1,1
sz.000032,深桑达A,1993-10-28,,1,1
sz.000033,新都退,1994-01-03,2017-07-07,1,0
sz.000034,神州数码,1994-05-09,,1,1
sz.000035,中国天楹,1994-04-08,,1,1
sz.000036,华联控股,1994-06-17,,1,1
sz.000037,深南电A,1994-07-01,,1,1
sz.000038,*ST大通,1994-08-08,,1,1
sz.000039,中集集团,1994-04-08,,1,1
sz.000040,东旭蓝天,1994-08-08,,1,1
sz.000042,中洲控股,1994-09-21,,1,1
sz.000043,中航善达,1994-09-28,2019-12-16,1,0
sz.000045,深纺织A,1994-08-15,,1,1
sz.000046,泛海控股,1994-09-12,,1,1
sz.000047,ST中侨,1994-10-21,2003-05-30,1,0
sz.000048,京基智农,1994-11-01,,1,1
sz.000049,德赛电池,1995-03-20,,1,1
sz.000050,深天马A,1995-03-15,,1,1
sz.000055,方大集团,1996-04-15,,1,1
sz.000056,皇庭国际,1996-07-08,,1,1
sz.000058,深赛格,1996-12-26,,1,1
sz.000059,华锦股份,1997-01-30,,1,1
sz.000060,中金岭南,1997-01-23,,1,1
sz.000061,农产品,1997-01-10,,1,1
sz.000062,深圳华强,1997-01-30,,1,1
sz.000063,中兴通讯,1997-11-18,,1,1
sz.000065,北方国际,1998-06-05,,1,1
sz.000066,中国长城,1997-06-26,,1,1
sz.000068,华控赛格,1997-06-11,,1,1
sz.000069,华侨城A,1997-09-10,,1,1
sz.000070,特发信息,2000-05-11,,1,1
sz.000078,海王生物,1998-12-18,,1,1
sz.000088,盐田港,1997-07-28,,1,1
sz.000089,深圳机场,1998-04-20,,1,1
sz.000090,天健集团,1999-07-21,,1,1
sz.000096,广聚能源,2000-07-24,,1,1
sz.000099,中信海直,2000-07-31,,1,1
sz.000100,TCL科技,2004-01-30,,1,1
sz.000150,*ST宜康,2000-08-07,,1,1
sz.000151,中成股份,2000-09-06,,1,1
sz.000153,丰原药业,2000-09-20,,1,1
sz.000155,川能动力,2000-09-26,,1,1
sz.000156,华数传媒,2000-09-06,,1,1
sz.000157,中联重科,2000-10-12,,1,1
sz.000158,常山北明,2000-07-24,,1,1
sz.000159,国际实业,2000-09-26,,1,1
sz.000166,申万宏源,2015-01-26,,1,1
sz.000301,东方盛虹,2000-05-29,,1,1
sz.000333,美的集团,2013-09-18,,1,1
sz.000338,潍柴动力,2007-04-30,,1,1
sz.000400,许继电气,1997-04-18,,1,1
sz.000401,冀东水泥,1996-06-14,,1,1
sz.000402,金融街,1996-06-26,,1,1
sz.000403,派林生物,1996-06-28,,1,1
sz.000404,长虹华意,1996-06-19,,1,1
sz.000405,ST鑫光,1996-06-20,2004-03-19,1,0
sz.000406,石油大明,1996-06-28,2006-04-21,1,0
sz.000407,胜利股份,1996-07-03,,1,1
sz.000408,藏格矿业,1996-06-28,,1,1
sz.000409,云鼎科技,1996-06-27,,1,1
sz.000410,*ST沈机,1996-07-18,,1,1
sz.000411,英特集团,1996-07-16,,1,1
sz.000412,ST五环,1996-07-15,2003-09-19,1,0
sz.000413,东旭光电,1996-09-25,,1,1
sz.000415,渤海租赁,1996-07-16,,1,1
sz.000416,民生控股,1996-07-19,,1,1
sz.000417,合肥百货,1996-08-12,,1,1
sz.000418,小天鹅A,1997-03-28,2019-06-21,1,0
sz.000419,通程控股,1996-08-16,,1,1
sz.000420,吉林化纤,1996-08-02,,1,1
sz.000421,南京公用,1996-08-06,,1,1
sz.000422,湖北宜化,1996-08-15,,1,1
sz.000423,东阿阿胶,1996-07-29,,1,1
sz.000425,徐工机械,1996-08-28,,1,1
sz.000426,兴业矿业,1996-08-28,,1,1
sz.000428,华天酒店,1996-08-08,,1,1
sz.000429,粤高速A,1998-02-20,,1,1
sz.000430,张家界,1996-08-29,,1,1
sz.000488,晨鸣纸业,2000-11-20,,1,1
sz.000498,山东路桥,1997-06-09,,1,1
sz.000501,武商集团,1992-11-20,,1,1
sz.000502,绿景退,1992-11-23,2022-06-27,1,0
sz.000503,国新健康,1992-11-30,,1,1
sz.000504,南华生物,1992-12-08,,1,1
sz.000505,京粮控股,1992-12-21,,1,1
sz.000506,中润资源,1993-03-12,,1,1
sz.000507,珠海港,1993-03-26,,1,1
sz.000508,琼民源A,1993-04-30,1999-07-12,1,0
sz.000509,华塑控股,1993-05-07,,1,1
sz.000510,新金路,1993-05-07,,1,1
sz.000511,烯碳退,1993-05-18,2018-07-18,1,0
sz.000513,丽珠集团,1993-10-28,,1,1
sz.000514,渝开发,1993-07-12,,1,1
sz.000515,攀渝钛业,1993-07-12,2009-05-06,1,0
sz.000516,国际医学,1993-08-09,,1,1
sz.000517,荣安地产,1993-08-06,,1,1
sz.000518,四环生物,1993-09-08,,1,1
sz.000519,中兵红箭,1993-10-08,,1,1
sz.000520,长航凤凰,1993-10-25,,1,1
sz.000521,长虹美菱,1993-10-18,,1,1
sz.000522,白云山A,1993-11-08,2013-04-26,1,0
sz.000523,广州浪奇,1993-11-08,,1,1
sz.000524,岭南控股,1993-11-18,,1,1
sz.000525,ST红太阳,1993-10-28,,1,1
sz.000526,学大教育,1993-11-01,,1,1
sz.000527,美的电器,1993-11-12,2013-09-18,1,0
sz.000528,柳工,1993-11-18,,1,1
sz.000529,广弘控股,1993-11-18,,1,1
sz.000530,冰山冷热,1993-12-08,,1,1
sz.000531,穗恒运A,1994-01-06,,1,1
sz.000532,华金资本,1994-01-03,,1,1
sz.000533,顺钠股份,1994-01-03,,1,1
sz.000534,万泽股份,1994-01-10,,1,1
sz.000535,*ST猴王,1993-11-30,2005-09-21,1,0
sz.000536,华映科技,1993-11-26,,1,1
sz.000537,广宇发展,1993-12-10,,1,1
sz.000538,云南白药,1993-12-15,,1,1
sz.000539,粤电力A,1993-11-26,,1,1
sz.000540,中天金融,1994-02-02,,1,1
sz.000541,佛山照明,1993-11-23,,1,1
sz.000542,TCL通讯,1993-12-01,2004-01-13,1,0
sz.000543,皖能电力,1993-12-20,,1,1
sz.000544,中原环保,1993-12-08,,1,1
sz.000545,金浦钛业,1993-12-15,,1,1
sz.000546,金圆股份,1993-12-15,,1,1
sz.000547,航天发展,1993-11-30,,1,1
sz.000548,湖南投资,1993-12-20,,1,1
sz.000549,S湘火炬,1993-12-20,2007-04-27,1,0
sz.000550,江铃汽车,1993-12-01,,1,1
sz.000551,创元科技,1994-01-06,,1,1
sz.000552,靖远煤电,1994-01-06,,1,1
sz.000553,安道麦A,1993-12-03,,1,1
sz.000554,泰山石油,1993-12-15,,1,1
sz.000555,神州信息,1994-04-08,,1,1
sz.000556,PT南洋,1994-05-25,2002-05-29,1,0
sz.000557,西部创业,1994-06-17,,1,1
sz.000558,莱茵体育,1994-05-09,,1,1
sz.000559,万向钱潮,1994-01-10,,1,1
sz.000560,我爱我家,1994-02-02,,1,1
sz.000561,烽火电子,1994-05-09,,1,1
sz.000562,宏源证券,1994-02-02,2015-01-26,1,0
sz.000563,陕国投A,1994-01-10,,1,1
sz.000564,ST大集,1994-01-10,,1,1
sz.000565,渝三峡A,1994-04-08,,1,1
sz.000566,海南海药,1994-05-25,,1,1
sz.000567,海德股份,1994-05-25,,1,1
sz.000568,泸州老窖,1994-05-09,,1,1
sz.000569,长城股份,1994-04-25,2009-05-06,1,0
sz.000570,苏常柴A,1994-07-01,,1,1
sz.000571,ST大洲,1994-05-25,,1,1
sz.000572,海马汽车,1994-08-08,,1,1
sz.000573,粤宏远A,1994-08-15,,1,1
sz.000576,甘化科工,1994-09-07,,1,1
sz.000578,盐湖集团,1995-03-03,2011-03-22,1,0
sz.000581,威孚高科,1998-09-24,,1,1
sz.000582,北部湾港,1995-11-02,,1,1
sz.000583,S*ST托普,1995-11-01,2007-05-21,1,0
sz.000584,哈工智能,1995-11-28,,1,1
sz.000585,东电退,1995-12-13,2022-05-24,1,0
sz.000586,汇源通信,1995-12-20,,1,1
sz.000587,*ST金洲,1996-04-25,,1,1
sz.000588,PT粤金曼,1996-01-23,2001-06-15,1,0
sz.000589,贵州轮胎,1996-03-08,,1,1
sz.000590,启迪药业,1996-01-19,,1,1
sz.000591,太阳能,1996-02-08,,1,1
sz.000592,平潭发展,1996-03-27,,1,1
sz.000593,德龙汇能,1996-03-12,,1,1
sz.000594,国恒退,1996-03-20,2015-07-13,1,0
sz.000595,宝塔实业,1996-04-19,,1,1
sz.000596,古井贡酒,1996-09-27,,1,1
sz.000597,东北制药,1996-05-23,,1,1
sz.000598,兴蓉环境,1996-05-29,,1,1
sz.000599,青岛双星,1996-04-30,,1,1
sz.000600,建投能源,1996-06-06,,1,1
sz.000601,韶能股份,1996-08-30,,1,1
sz.000602,金马集团,1996-08-19,2013-08-14,1,0
sz.000603,盛达资源,1996-08-23,,1,1
sz.000605,渤海股份,1996-09-13,,1,1
sz.000606,*ST顺利,1996-10-04,,1,1
sz.000607,华媒控股,1996-08-30,,1,1
sz.000608,阳光股份,1996-09-19,,1,1
sz.000609,中迪投资,1996-10-10,,1,1
sz.000610,西安旅游,1996-09-26,,1,1
sz.000611,天首退,1996-10-08,2022-06-28,1,0
sz.000612,焦作万方,1996-09-26,,1,1
sz.000613,东海A退,1997-01-28,2022-06-29,1,0
sz.000615,奥园美谷,1996-10-16,,1,1
sz.000616,ST海投,1996-11-08,,1,1
sz.000617,中油资本,1996-10-22,,1,1
sz.000618,吉林化工,1996-10-15,2006-02-20,1,0
sz.000619,海螺新材,1996-10-23,,1,1
sz.000620,新华联,1996-10-29,,1,1
sz.000621,*ST比特,1996-11-05,2004-09-27,1,0
sz.000622,恒立实业,1996-11-07,,1,1
sz.000623,吉林敖东,1996-10-28,,1,1
sz.000625,长安汽车,1997-06-10,,1,1
sz.000626,远大控股,1996-11-28,,1,1
sz.000627,天茂集团,1996-11-12,,1,1
sz.000628,高新发展,1996-11-18,,1,1
sz.000629,钒钛股份,1996-11-15,,1,1
sz.000630,铜陵有色,1996-11-20,,1,1
sz.000631,顺发恒业,1996-11-22,,1,1
sz.000632,三木集团,1996-11-21,,1,1
sz.000633,合金投资,1996-11-12,,1,1
sz.000635,英力特,1996-11-20,,1,1
sz.000636,风华高科,1996-11-29,,1,1
sz.000637,茂化实华,1996-11-14,,1,1
sz.000638,万方发展,1996-11-26,,1,1
sz.000639,西王食品,1996-11-26,,1,1
sz.000650,仁和药业,1996-12-10,,1,1
sz.000651,格力电器,1996-11-18,,1,1
sz.000652,泰达股份,1996-11-28,,1,1
sz.000653,ST九州,1996-11-26,2002-09-13,1,0
sz.000655,金岭矿业,1996-11-28,,1,1
sz.000656,金科股份,1996-11-28,,1,1
sz.000657,中钨高新,1996-12-05,,1,1
sz.000658,ST海洋,1996-12-18,2002-09-20,1,0
sz.000659,珠海中富,1996-12-03,,1,1
sz.000660,*ST南华,1996-12-09,2004-09-13,1,0
sz.000661,长春高新,1996-12-18,,1,1
sz.000662,天夏退,1996-12-16,2021-04-12,1,0
